访客类型,月份,产品相关页面访问持续时间,信息相关页面,用户相关页面,信息相关页面访问持续时间,退出率,跳出率,产品相关页面,网页价值,操作系统,周末,浏览器,用户页面访问持续时间,区域,流量类型,节假日,是否购买
Returning_Visitor,Dec,556.9166667000001,0,0,0.0,0.022435897000000003,0.01025641,26,0.0,4,False,2,0.0,1,8,0.0,0
Returning_Visitor,Dec,2348.8125,5,0,39.83333333,0.055166667,0.02,34,0.0,2,False,2,0.0,3,1,0.0,0
New_Visitor,June,1570.133333,6,0,89.8,0.005357143000000001,0.0,26,0.0,2,True,2,0.0,8,4,0.0,0
Returning_Visitor,Dec,821.6825397000001,4,2,159.0,0.019343434,0.0006172840000000001,33,0.0,2,False,2,27.75,1,2,0.0,1
Returning_Visitor,Jul,584.3777778,5,2,38.57777778,0.064351852,0.0,7,0.0,1,True,1,9.0,1,2,0.0,1
Returning_Visitor,Dec,642.4642857000001,0,0,0.0,0.057142857000000005,0.028571429,21,0.0,2,True,2,0.0,6,2,0.0,0
Returning_Visitor,Jul,11729.40804,0,2,0.0,0.04524582,0.032877299,377,0.0,3,False,2,76.6,1,3,0.0,0
Returning_Visitor,Feb,1582.75,1,1,6.0,0.050821255999999995,0.043478261,45,54.17976426,3,False,2,0.0,1,1,0.4,0
Returning_Visitor,Mar,449.6,0,0,0.0,0.015384615,0.0,13,0.0,3,False,2,0.0,1,10,0.0,0
Returning_Visitor,May,3.0,0,0,0.0,0.16,0.14,10,0.0,2,False,5,0.0,2,3,0.8,0
Returning_Visitor,May,52.0,2,0,0.0,0.111111111,0.1,3,0.0,1,True,2,0.0,1,6,0.0,0
Returning_Visitor,Nov,930.0535714,4,0,252.5,0.027083332999999998,0.0,13,0.0,1,False,1,0.0,3,3,0.0,0
Returning_Visitor,Nov,454.91666669999995,2,0,7.0,0.025757576,0.009090909,20,0.0,2,False,2,0.0,1,10,0.0,0
Returning_Visitor,May,2154.72381,3,1,283.6666667,0.047660099000000004,0.036781609,27,0.0,1,True,2,17.0,1,3,0.0,0
Returning_Visitor,Jul,472.4333333000001,0,0,0.0,0.004395604,0.0,13,0.0,2,False,2,0.0,3,2,0.0,0
Returning_Visitor,Mar,773.4666667,1,0,44.0,0.029142857,0.0,25,10.3572,2,True,2,0.0,1,2,0.0,1
Returning_Visitor,Nov,1732.0666670000003,1,0,0.0,0.050752688,0.025806452,30,13.13492027,2,False,2,0.0,9,10,0.0,0
Returning_Visitor,May,324.5,5,0,133.0,0.031481481,0.0,16,0.0,3,False,2,0.0,8,4,0.0,0
Returning_Visitor,Mar,130.5,0,0,0.0,0.008333333,0.0,12,0.0,2,False,2,0.0,1,10,0.0,0
Returning_Visitor,Nov,1445.458333,6,0,167.0,0.013963963999999999,0.0040540540000000005,71,12.30811748,3,False,2,0.0,1,10,0.0,1
Returning_Visitor,May,149.5,0,0,0.0,0.066666667,0.0,6,0.0,2,False,2,0.0,1,13,0.4,0
Returning_Visitor,Nov,249.0,0,0,0.0,0.064,0.04,10,0.0,1,False,1,0.0,8,3,0.0,0
Returning_Visitor,Mar,192.0,0,0,0.0,0.04,0.0,6,0.0,2,False,10,0.0,4,3,0.0,0
Returning_Visitor,Nov,0.0,0,0,0.0,0.2,0.2,1,0.0,3,False,2,0.0,2,1,0.0,0
New_Visitor,Nov,180.75,2,0,18.0,0.014285714,0.0,12,0.0,2,False,2,0.0,1,2,0.0,0
Returning_Visitor,May,464.0,0,0,0.0,0.022222222000000003,0.0,9,29.31555556,2,False,2,0.0,1,2,0.0,1
Returning_Visitor,May,36.0,0,0,0.0,0.15,0.1,4,0.0,2,False,5,0.0,1,3,0.6,0
Returning_Visitor,Mar,1883.827222,4,0,600.4230769,0.013061325,0.00075188,17,0.120699914,2,False,2,0.0,1,8,0.0,1
Returning_Visitor,Nov,4442.394444,7,4,70.0,0.014283502,0.011678832,131,0.0,4,True,1,35.0,1,2,0.0,0
Returning_Visitor,Mar,128.0,0,0,0.0,0.016666667,0.0,7,0.0,2,False,2,0.0,1,1,0.0,0
Returning_Visitor,Nov,2250.35,0,2,0.0,0.030952381,0.014285714,12,0.0,1,True,1,861.0,3,2,0.0,0
Returning_Visitor,Mar,2049.458471,5,1,193.0,0.012765306,0.004489796,66,29.45815149,3,True,2,13.0,3,1,0.0,0
Returning_Visitor,Nov,9297.575489,4,4,33.91666667,0.027881156,0.011608301000000001,251,0.0,2,False,2,785.875,1,2,0.0,0
Returning_Visitor,Oct,1197.8,0,0,0.0,0.01,0.0,11,0.0,2,False,2,0.0,3,20,0.0,0
New_Visitor,Sep,165.1,1,0,62.46666667,0.016666667,0.0,5,0.0,3,False,2,0.0,3,3,0.0,0
Returning_Visitor,Nov,1904.5416670000002,6,0,65.41666667,0.026060606,0.004848485,29,0.0,1,False,1,0.0,2,8,0.0,1
Returning_Visitor,June,1544.533333,0,0,0.0,0.080246914,0.048148147999999995,27,0.0,1,False,1,0.0,3,3,0.0,0
Returning_Visitor,May,641.5,0,0,0.0,0.0375,0.0,16,0.0,4,False,1,0.0,7,1,0.0,0
Returning_Visitor,Nov,1143.833333,16,0,237.35,0.014488016999999999,0.009803922,46,0.0,3,True,2,0.0,4,1,0.0,0
Returning_Visitor,Mar,1274.190476,4,0,55.5,0.009285714,0.005714286,33,0.0,2,True,2,0.0,6,2,0.0,0
